,year,rank,name,sector,industry,revenues,revchange,profits,prftchange,assets,employees,hqcity,hqstate,newcomer,profitable,ceowoman,jobgrowth,permalink
625,2020,126.0,CITIC Group,Financials,Diversified Financials,75115.0,6.3,3646.8,-20.1,1074806.3,304260,Beijing,,no,yes,no,yes,https://fortune.com/company/citic-group/global500/
626,2020,127.0,Centene,Health Care,Health Care: Insurance and Managed Care,74639.0,24.2,1321.0,46.8,40994.0,56600,St. Louis,Missouri,no,yes,no,yes,https://fortune.com/company/centene/global500/
627,2020,128.0,Royal Ahold Delhaize,Food & Drug Stores,Food & Drug Stores,74162.0,0.1,1976.6,-6.6,46568.4,232000,Zaandam,,no,yes,no,yes,https://fortune.com/company/royal-ahold-delhaize/global500/
628,2020,129.0,United Parcel Service,Transportation,"Mail, Package, and Freight Delivery",74094.0,3.1,4440.0,-7.3,57857.0,377640,Atlanta,Georgia,no,yes,yes,yes,https://fortune.com/company/ups/global500/
629,2020,130.0,Nippon Life Insurance,Financials,"Insurance: Life, Health (Mutual)",74048.0,-0.2,1767.2,-29.7,741012.0,92122,Osaka,,no,yes,no,yes,https://fortune.com/company/nippon-life-insurance/global500/
630,2020,131.0,Uniper,Energy,Energy,73652.0,-20.2,682.7,,49111.7,11743,,,no,yes,no,no,https://fortune.com/company/uniper/global500/
631,2020,132.0,Alibaba Group Holding,Retailing,Internet Services and Retailing,73166.0,30.3,21450.2,63.8,185026.5,117600,Hangzhou,,no,yes,no,yes,https://fortune.com/company/alibaba-group-holding/global500/
632,2020,133.0,Pemex,Energy,"Mining, Crude-Oil Production",72820.0,-16.7,-18038.7,,101602.0,125735,Mexico City,,no,no,no,no,https://fortune.com/company/pemex/global500/
633,2020,134.0,Beijing Automotive Group,Motor Vehicles & Parts,Motor Vehicles & Parts,72554.0,-0.2,746.9,-32.0,71908.7,114315,Beijing,,no,yes,no,no,https://fortune.com/company/beijing-automotive-group/global500/
634,2020,135.0,Munich Re Group,Financials,Insurance: Property and Casualty (Stock),72537.0,7.9,3048.9,11.8,322749.5,39662,Munich,,no,yes,no,no,https://fortune.com/company/munich-re-group/global500/
