City,Region,Country,"Internet Price, 2010","Internet Price, 2011","Internet Price, 2012","Internet Price, 2013","Internet Price, 2014","Internet Price, 2015","Internet Price, 2016","Internet Price, 2017","Internet Price, 2018","Internet Price, 2019","Internet Price, 2020"
Pune,Maharashtra,India,20.4918032786885,21.9242501270971,24.393225462304397,23.7014236244709,26.2555013471365,22.221166044537398,21.3955134569297,21.6667392179814,16.475342872741898,13.157070710900301,12.4014041517428
Guatemala City,Guatemala Department,Guatemala,0.0,0.0,0.0,0.0,0.0,52.86452108278829,53.113503920391395,56.1938691551903,73.3055372115185,88.4371611599029,67.0275136555757
Valenzuela,Metro Manila,Philippines,0.0,0.0,0.0,0.0,0.0,41.2620633125722,0.0,0.0,0.0,0.0,0.0
Osijek,Osijek-Baranja County,Croatia,0.0,0.0,0.0,23.0968858131488,0.0,21.385126447759898,22.0503836162629,21.4539719385069,23.0862889581126,0.0,23.0503861818353
Rijeka,Primorje-Gorski Kotar County,Croatia,0.0,0.0,26.885245901639298,32.8719723183391,33.5230980131578,25.014912736438998,25.272357478000004,26.062043376003103,25.742793440963897,0.0,24.712532834718598
Split,Split-Dalmatia County,Croatia,0.0,0.0,25.2765027322404,22.1453287197232,0.0,20.9775298735785,25.733192681782104,28.7060187909599,27.4135154786521,24.972695516648997,28.851807534107397
Hanover,Lower Saxony,Germany,0.0,0.0,0.0,0.0,0.0,0.0,30.0001621718048,0.0,35.2351023961441,30.6700396247957,42.149007716926604
Düsseldorf,North Rhine-Westphalia,Germany,0.0,0.0,30.8641975308642,0.0,36.286116024856,25.409836065573803,32.586993248883196,35.440613026819896,33.4773638522325,37.7741461266949,36.370087162027204
Dubrovnik,Dubrovnik-Neretva County,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.885815906026295
Munich,Bavaria,Germany,0.0,27.170289855072497,33.8271604938272,30.5194805194805,31.448156211729497,24.6425475786697,27.645697852304696,30.2521165205894,36.6760647970504,38.22652883043121,40.360373711410396
Dresden,Saxony,Germany,0.0,0.0,0.0,0.0,0.0,27.318761384335197,27.6677261891248,0.0,33.8666355249329,33.5803353556158,48.6171573288324
Innsbruck,Tyrol,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.414688759516302,0.0,36.7984508271956,0.0
